,Тип,Назначение,Материал,Мотор,Частота переключения,Рабочее напряжение,Шаг регулировки,Ёмкость аккумулятора,Время подзарядки,Время работы,Разъем для зарядки,Ход толкателя,Ход иглы,Длина,Диаметр,Вес,Гарантия,Производитель,Название,Цена,Ссылка,Фотография,Модель,Вольтаж,Ход толкателя (Stroke),Вылет иглы,Время зарядки,Тип аккумулятора,Память,Функция Jump-start,Таймер,Дисплей,Выходное напряжение,Шаг регулировки вольтажа,Емкость аккумулятора,Jump Start,Разъём для подключения,Размер,Производcтво,Назначение машинки,Обороты в минуту,Разъём для зарядки,Размеры с аккумулятором,Размеры с RCA переходником,Производство,Двигатель,Скорость,Рекомендуемое напряжение,Время работы на одном аккумуляторе,Размер машинки без аккумулятора,Размер машинки с аккумулятором,Вес без аккумулятора,Вес с аккумулятором,Частота,SMP,Вес машинки,Вес коробки,Размеры коробки,Подключение,Размеры,Цвет,Ход толкателя регулируемый,Bluetooth,Рабочий вольтаж,Длина хода,Вес батареи,Цвет машинки,Особенность,Jump-Start,Разъем для подключения,Высота,Разъём,Ход бойка,Материал рамы,Ход толкателя (Strokes),Назначения,Рабочая частота удара,Обороты,Диаметр x Длинна,Диаметр x Длина,Соединение,Разъем,Емкость,Модель машины,Потребляемая мощность,Диаметр держателей,Размер коробки,Ход поршня,Рабочая частота,Диаметр держателя,Ход толкателя (Strokes) регулируемый,Диаметр ручки,Длина ручки,Для контурных работ,Для закраса/теней,Крутящий момент,Время полной зарядки,Длина машинки,Размер кейса,Вес кейса,Номинальный крутящий момент,Стартовое напряжение по умолчанию,Количество уровней регулировки вольтажа,Ёмкость аккумуляторов,Вес машинки с батареей,Батареи,Частота удара,Длина машинки с RCA адаптером,Вес машинки с RCA адаптером,Регулировка вольтажа с шагом,Время работы на 1 батарейке,Вес с батарейкой,Время работы на 1 аккумуляторе,Длинна,Строк,Корпус,Покрытие рамы,Модель машинки,Вход для зарядки,Тип батареи,Номинальная емкость аккумулятора,Вес без батарейки,Мощность мотора,"Спроектировано в США.

В комплекте",Система привода,Вылет иглы в зависимости от картриджей,Размер машинки,Регулировка с шагом,Значение в децибелах,Значение вибрации,Размер двигателя,Мощность двигателя,Длина хода (Strokes),Система двойного управления,Ход толкателя Strokes регулируемый,Мощность,Экран,Время работы на аккумуляторе,Регулируемый ход толкателя,Вес вместе с коробкой,Держатели,Привод,Емкость батареек,Тип батарейки,Размер батарейки,Диаметр машинки,Вес машинки с батарейкой,Батарея,Емкость АКБ,Держатель,Ход толкателя регулируемый Strokes,Частота вращения,Макс обороты,Ход толкателя регулируемый (Stroke),Емкость блока питания,Jump-start,Длина с блоком,Длина с RCA,Вес машинки с блоком,Вес машинки с RCA,Напряжение зарядки,Ход толкателя (Stroke) регулируемый,Вес без батарейкой,Уникальность,Ход толкателя регулируемый (Strokes),Мощность Двигателя,Ход толкателя Strokes,Время зарядки от разъема,АКБ,Вес с кейсом,Рама,- Модель,Вес машинки без батарейки,Вес машинки батарейкой,Габариты коробки,Частотный режим,Точечный режим,Вес с держателем 32мм,Вес с держателем 40мм,Xод иглы,Пусковое напряжение,Размер машинки с RCA адаптером,Вес с RCA адаптером,Для контура,Для закраса,Xод толкателя,Разъём подключения,Ход,Рекомендованный рабочий вольтаж,Память режимов,Ход толкателя (строк),Ёмкость аккумуляторов машинки,Ёмкость аккумулятора педали,Время работы максимум (при 5В),Время работы минимум (при 11В),Длина машины вместе с аккумулятором,Особенности,Диапазон игл,Рекомендуемый вольтаж,Размеры машинки,Длина с RCA переходником,Вес с блоком,Вес с RCA переходником,Диаметр в нижней части,Диаметр в верхней части,Длина машинки с блоком,Ход толкателя Stroke,Входное напряжение,Режим зарядки,Цикл полной зарядки,Частота вращения двигателя,Напряжение батареи,Вес с аккумулятором,Об/мин,Частота переключателя,Шаг регулировки переключаемый,"минимальная вибрация.

Основные особенности",Шаг,Регулируемый ход игл,Короткий ход,Выходная мощность,Общее время работы,Длина (без картриджа),Диаметр корпуса,Вес (без держателя),Вес с держателем (PMU),Разъем для зарядки,Регулировка частоты ударов,Ёмкость аккумулятора машинки,Ход толкатея,Габариты,Вес машинки с аккумулятором,Ёмкость съёмных аккумуляторов по,Длинна с аккумулятором,Длинна с разъёмом RCA,Диаметр в нижней части ручки,Вес с разъёмом RCA,Размер коробкм,Длинна с переходником RCA,Длина с переходником RCA,Длина с аккумулятором,Вес машинки с держателем,Сменные эксцентрики с ходом,Moтор,Об / мин,Выступ иглы,Емкость батареи,Рабочее время Powerpack,Гарантия на блок питания,В комплекте,Вывод,Размеры (Ø х L),Время заряда батареи,Вес (с блоком питания),Время работы блока питания,Ручка,Она универсальна,К машинке подойдут держатели,Тип подключения,Рекомендуемое рабочее напряжение,Максимальное напряжение,Вес всего комплекта,Частота Переключения,Кол-во оборотов,Размеры (Ø X L),Время работы Powerpack,Размеры(Ø X L),Тип машинки,"Длина хода, мм","Диаметр, мм","Размер, мм","Мощность двигателя, В",Оборотов в минуту,"Децибелы, дБ","Величина вибрации, м/с²","Рабочий вольтаж, В","Регулировка вольтажа, В","Емкость аккумулятора, мАч","Время работы, часов","Время зарядки, часов","Вес, г","Вес с аккумулятором, г",Питание,Провод для зарядки в комплекте,RCA переходник,"Частота переключения, Гц","Регулировка хода иглы, мм",Процент зарядки,Показание вольтажа,Сетевой шнур в комплекте,"Сила тока, А",Времени работы,Комплектация,Функция памяти,Start UP,"Рекомендуемый вольтаж, В",Авто выключение,Push Mode,"Мощность, В","Напряжение зарядки, В",source
498,,,Алюминий,Япония - 8V/10000 об,,,"0,1V",1200mA/ч,2 часа,до 5 часов,USB Type—C,3 мм,,140 мм,24 мм,133 г,6 месяцев,DragonHawk,Беспроводная тату машинка MAST Tour SIYA Green Gradient,12990,https://tatu-shop.ru/products/mast--siya-green-gradient,https://i.siteapi.org/XCs8nHwI4MlFN9pnzxg2an2cEiM=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/98wf4ainojk00cs84kk8koss0og4cg,MAST Tour SIYA,5-12V,,0-4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
499,Беспроводная роторная,Универсальная,Авиационный алюминий с защитным покрытием,Coreless Motor 12V / 10000 об/мин,,,,,,до 8 часов,USB Type—C,,,145 мм,35 мм,,6 месяцев,Hummingbird BRONC,Беспроводная тату машинка BRONC V80 Strokes 2.0 - 4.2mm Silver,7380,https://tatu-shop.ru/products/bronc--v80-silver,https://i.siteapi.org/aPDGGdSCAwKou41UBRLxcEySUZc=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/a4weaest9m0ockg0cggc44k8k48800,BRONC V80,4-12 V,,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,3 режима памяти вольтажа,Да,Да,HD,,,,,,,,,,,,,,,,,,,,,,,,252 гр,400 гр,170 x 95 x 60 мм,,,,,,,,,,Два режима (Обычный режим и Частотный режим SMP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 часа,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,от 2,2000 mA/ч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
500,Pen,Универсальная,,8V-10000 об,,,,,,,,,,,,115 г,,,Роторная тату машинка Rocket Mini Pen orange,3570,https://tatu-shop.ru/products/rocket--mini-pen-orange,https://i.siteapi.org/3_9ygCM7MEgJI2K_DslaFQtJzj8=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/k47d6k7jdc0wsksk4c84sogkgo0wwg,Rocket Mini Pen,,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,,,,,,,,,,,,,,,,,Rocket Tattoo,,,,,,,,,,,,,,,85мм х 32мм,,,,5-8 V,,,,,,,,RCA,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Авиационный алюминий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
501,Беспроводная роторная,Универсальная,Авиационный алюминий с защитным покрытием,Coreless Motor 12V / 10000 об/мин,,,,,,до 8 часов,USB Type—C,,,145 мм,35 мм,,6 месяцев,Hummingbird BRONC,Беспроводная тату машинка BRONC V80 Strokes 2.0 - 4.2mm X 2Power Green,8990,https://tatu-shop.ru/products/bronc--v80-2power-green,https://i.siteapi.org/KQj_qWtpivjT3KHALcJ97vmrANo=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/tdmluu17cjkwk4gsk0ogg8wscw4wgw,BRONC V80,4-12 V,,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,3 режима памяти вольтажа,Да,Да,HD,,,,,,,,,,,,,,,,,,,,,,,,252 гр,480 гр,170 x 95 x 60 мм,,,,,,,,,,Два режима (Обычный режим и Частотный режим SMP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 часа,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,от 2,2000 mA/ч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
502,Беспроводная роторная,Универсальная,Авиационный алюминий с защитным покрытием,Швейцарский двигатель 12V / 11000 об/мин,,,,,,,,,,146 мм,37 мм,,6 месяцев,Hummingbird BRONC,Беспроводная тату машинка BRONC X2 Adjustable Stroke 11 Options Silver,17950,https://tatu-shop.ru/products/bronc-x2--silver,https://i.siteapi.org/q2OvOmU0nIeq41dv5ycy5e4XyCE=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/kb4ewlf0kkgg0kc84o0ggok8so40cc,BRONC X2,4-12 V,,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,4 режима памяти вольтажа,да,Да,Ultra-HD,,,,,,,,,,,,,,,,,,,,,,,,,550 гр,185 x 110 x 60 мм,,,,,,,,,,чип 28nm X-Series; 3D стекло Gorilla Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,0,до 10 часов,253 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,от 2,218 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
503,Беспроводная роторная,Универсальная,Авиационный алюминий с защитным покрытием,Бесщеточный двигатель 12V-10000 об/мин,,,,1500 mA/ч,,до 5 часов,USB Type—C,,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",113 мм,33 мм,,,Yilong Tattoo,"Беспроводная тату машинка Yilong F9 Stroke 3,5mm Grey",10450,https://tatu-shop.ru/products/machine-yilong-f9-grey,https://i.siteapi.org/rYmrDyUHztIJdF2V02G-Ppabosg=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/nm7fpcz4u68wo8c0w0wwcswwwwck0c,,,3,,2 часа,полимерно-литиевый,3 режима памяти,,Да,Цветной OLED,,,,,,,,,,,,,,,,,,,,,,3-150 HZ,,160 г,315 г,150x95x50 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
504,Роторная беспроводная,Перманентный макияж и мини тату,Авиационный алюминий,Coreless Motor 12V/10000 об/мин,,,"0,1V",,1-2 часа,3-5 часов,USB Type—C,,,138 мм,18 мм,81 гр,6 месяцев,EZ TATTOO,Беспроводная машинка для татуажа EZ LOLA LIGHT PMU Rose Gold,9890,https://tatu-shop.ru/products/lola-light-pmu-rose-gold,https://i.siteapi.org/Wj9jtES734VfnN2sRtx6zdnXb6o=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/cyo08w2yfrk8o8ossks4gokoo4oog8,EZ LOLA LIGHT,4-12V,2,"0-4,5 мм",,полимерно-литиевый,,,Да,Цветной OLED Digital Display,,,800 mA/ч,,,,,,,,,,,,,,,,,,,4,,,265 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195 x 95 x 70 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Обычный и SMP режимы,,,,,,,,,,,,,,,,,,,,,,Да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
505,Роторная беспроводная,Универсальная,авиационный алюминий с защитным покрытием,Высокопроизводительный двигатель без сердечника Careless motor 12V/10000 об/мин,,,"0,1V",1500 mA/ч,,до 4 часов,USB Type—C,,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",127 мм,32 мм,198 г,6 месяцев,WJX - DragonHawk,Беспроводная тату машинка WJX W3 Wireless Pen 7 Strokes Black,19860,https://tatu-shop.ru/products/wireless-tattoo-machine-wjx-black,https://i.siteapi.org/ryIjn1Kqfhh0Vx_Dz3LnE42onik=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/syjfommsn3kscow4o88ww0cw4ko8kw,,4-12 V,,,2 часа,полимерно-литиевый,,,,,,,,,,,,,,,,,,,,,,,,,,60 - 170 Hz,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WJX W3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
506,Беспроводная роторная,Универсальная,Авиационный алюминий,Швейцарский двигатель 7Вт,,,,2100 mA/ч,2-3 часа,до 10 часов,USB Type—C,"шесть вариантов 2,6 мм, 2,9 мм, 3,2 мм, 3,5 мм, 3,8 мм, 4,0 мм",,135 мм,32 мм,235 г,6 месяцев,Hummingbird BRONC,Беспроводная тату машинка BRONC V12 MAX Adjustable Wireless Pen 6 Stroke Green,14990,https://tatu-shop.ru/products/bronc-v12-green,https://i.siteapi.org/y4yqrxTvaKXNxikIm7u9N4MhH7Y=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/3u3gpk02h3qcgsocs0soww40ccokgc,BRONC V12 MAX,4-12 V,,"от 0 до 4,5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
507,Роторная беспроводная,,авиационный алюминий,,,,"0,5V",700 mA/ч,,3-7 ч,USB Type—C,"2,5 мм",,137 мм,22 мм,105 г,6 месяцев,,Беспроводная роторная машинка AVA SOULNOVA E2 PERMANENT MAKEUP PEN Champagne,9340,https://tatu-shop.ru/products/soulnova-e2-champagne,https://i.siteapi.org/VC_ELCEwGSg5TSerzQ-MvXY5vWs=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/5wmfia39zts0oow8wgcg8k8wkc8w0s,SOULNOVA E2 PERMANENT MAKEUP PEN,"4,5 - 11V",,"0 - 3,5 мм",2 ч,,,,,,,,,,,,AVA TATTOO MACHINE,,,,,,,Япония,12800 об/мин ± 10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,от 60 до 190 NPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
508,Роторная,Универсальная,авиационный алюминий,Coreless Motor - 12В / 9000 об/мин,,,,,,,,"3,5 мм","до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,159 г,6 месяцев,EZ Tattoo,Роторная тату машинка EZ Avant Flex Soft Hard gold,7350,https://tatu-shop.ru/products/ez-avant-flex-soft-hard-gold,https://i.siteapi.org/SgN6jY1mufa8DRARgAdqxHzTJNo=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/p679m2l15m8o8c4wkckkok0c0ogwo0,,,,,,,,,,,,,,,,,,,,,,,,,,5-12 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 x 115 мм,RCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
509,ПЭН,Универсальная,,Тайвань,,,,,,,,3,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,23 мм,85 г,,,Роторная тату машинка Bronc STPS-021 red,4750,https://tatu-shop.ru/products/machine-bronc-stps-021-red,https://i.siteapi.org/NiskyoN2Np3x6rpVaJnT70hsZqY=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/lxmyzmdmu40sok4cs4coo404okckgo,Bronc STPS-021,,,,,,,,,,,,,,,,,,,,,,Yilong Tattoo Supply,,,,,,,,,,,,,,,,,,,5-9 V,,,,,,,123 мм,RCA,,Авиационный алюминий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
510,,,Алюминий,Япония - 8V/10000 об,,,"0,1V",1200mA/ч,2 часа,до 5 часов,USB Type—C,3 мм,,140 мм,24 мм,133 г,6 месяцев,DragonHawk,Беспроводная тату машинка MAST Tour SIYA Blue Gradient,12990,https://tatu-shop.ru/products/mast--siya-blue-gradient,https://i.siteapi.org/ixfa493YE9GYDLqXP2WyIPAPbpI=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/dr806gi5w7c44ockc4w8w4wgw8o8so,MAST Tour SIYA,5-12V,,0-4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
511,Pen,Универсальная,,8V-10000 об,,,,,,,,,,,,115 г,,,Роторная тату машинка Rocket Mini Pen black,3570,https://tatu-shop.ru/products/rocket-mini-pen--black,https://i.siteapi.org/BWJTqLDkRtsxU2KSKywhJcfrjLU=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/def1iw146cgg8so8s4owckwwkwkc8k,Rocket Mini Pen,,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,,,,,,,,,,,,,,,,,Rocket Tattoo,,,,,,,,,,,,,,,85мм х 32мм,,,,5-8 V,,,,,,,,RCA,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Авиационный алюминий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
512,,,,,,,,,,,,,,,,,,,Роторная тату машинка EZ P4 Mini pink,7990,https://tatu-shop.ru/products/ez-p4--mini-pink,https://i.siteapi.org/4AcnWUTackBIJB6wZnPtvuO-eVA=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/ff64s1cms1wk4cs088og44o4okck00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P4 Mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
513,беспроводная роторная машинка,Универсальная,Авиационный алюминий,,,,"0,1V",,,до 7 часов,,3,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",175 мм,"33,5 мм",,,,"Беспроводная тату машинка Cobra Morandi 3,5 Stroke Black",9990,https://tatu-shop.ru/products/machine-cobra-morandi-black,https://i.siteapi.org/xYkNI4NY4Ik20ehte9KGeK-K7FA=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/bxol5jefbpws48c0wkc0g804wgo8ks,Cobra Morandi,"4,7-13V",,,,,,Да,,Цветной OLED экран,,,,,,,,,,,,,Cobra Tattoo,Без сердечника Coreless motor  / 12000 оборотов,,,,,,,,,,,320 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Типоразмер 18500 с повышенным пусковым током,1800 мАч,,,,,,,,,,,,,,,,,,,,,,,,175 гр,210 гр,170x130x80 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
514,Роторная беспроводная,Универсальная,авиационный алюминий с защитным покрытием,EZ Customized External Rotor Brushless Motor 12V-10000 об/мин,,,"0,1V",,,до 5 часов,USB Type—C,,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",128 мм,,,6 месяцев,EZ TATTOO,Беспроводная тату машинка EZ P3 Pro Lumina 6 Strokes X 2 Power Red,16380,https://tatu-shop.ru/products/ez-p3-lumina-2-power-red,https://i.siteapi.org/OjHlPznwOYnvWkA9BZtvp1bHesQ=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/pcaic8x08askg8s0ggs00oo04kscok,,4-12 V,,,2 часа,полимерно-литиевый,,,,OLED Digital Display,,,1600 mA/ч,,,,,,,,,,,,,,,,,,,45 - 170 Hz,,175 г,480 гр,190 x 130 x 70 мм,,,,2,Да,,,,,,,,,,,,,,,,,,,,,EZ P3 Pro Lumina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 мм,34 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
515,Роторная беспроводная,"Тату, перманентный макияж",Авиационный алюминий,,,,,,,до 5 часов,,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",110 мм,,,1 год,JACK & ALEXX,Беспроводная тату машинка JACK & ALEXX Easy Pro Strokes 3.0мм,39990,https://tatu-shop.ru/products/jack-alexx-easy-pro-3mm,https://i.siteapi.org/i8ogqq1hnZwHFV7L7cSf2s74L4I=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/qin41zumfg0oswoo4cks0ckgw4wgcc,JACK & ALEXX Easy Pro,,,,,,,,,Цветной IPS экран,,,,,,,,,,,,,,Бесколлекторный 13W,45-150 прокол/сек,,,,,,,,,130г,570 гр,220 x 160 x 70 мм,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13Вт,,,,,,,,,,прямой Direct Drive,1200мАч,сменные 3,18 x 35 мм,30 мм,160г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
